epoch,global_step,seq_len,precision,recall,f1,time_minutes
4,4096,64,0.030510338087530158,0.999999999999999,0.05921403591956793,0.5269825140635173
4,4096,128,0.015414669881871738,0.999999999999999,0.030361329886340566,0.5269825140635173
4,4096,256,0.007767079181481086,0.999999999999999,0.015414433239438384,0.5269825140635173
4,4096,512,0.0039024501894004415,0.999999999999999,0.0077745605435275145,0.5269825140635173
4,4096,1024,0.0019512213730266056,0.999999999999999,0.0038948430450552207,0.5269825140635173
4,4096,2048,0.000975609756097561,0.999999999999999,0.0019493177387894757,0.5269825140635173
4,4096,4096,0.00048828125,0.9999999999999991,0.0009760858955578335,0.5269825140635173
4,4096,8192,0.000244140625,0.9999999999999991,0.0004881620698066879,0.5269825140635173
4,4096,16384,0.0001220703125,0.9999999999999991,0.00024411082631490297,0.5269825140635173
4,4096,32768,6.103515625e-05,0.9999999999999991,0.0001220628623740006,0.5269825140635173
